gene_group,alt_gene_group,met_ratio
2,2,0.00215
2,2,0.0022
2,2,0.0023
2,2,0.0023
2,2.5,0.0024
2,2.25,0.0024
2,2,0.0024
2,2.5,0.00247
2,2.25,0.0025
2,2,0.0025
2,2,0.003
2,2,0.00255
2,2.25,0.00255
2,2.25,0.002553
2,2.25,0.0026
2,2,0.00257
2,2,0.002587
2,2.25,0.00268
2,2.25,0.00271
2,2,0.0028
2,2,0.0029
2,2,0.0029
2,2.25,0.00298
2,2,0.003
2,2.25,0.003
2,2.25,0.003
2,2,0.003079
2,2.25,0.00309
2,2.5,0.0031
2,2.5,0.00312
2,2.25,0.003165
2,2,0.0032
2,2.25,0.0033
2,2,0.00342
2,2.5,0.0034
2,2.5,0.0034
2,2,0.003465
2,2.25,0.0035
2,2.5,0.00355
2,2.5,0.00372
2,2,0.0038
2,2,0.0038
2,2.25,0.004
2,2,0.0038
2,2,0.0039
2,2.25,0.0039
2,2.5,0.0039
2,2.25,0.00393
2,2,0.003936
2,2.25,0.00394
2,2.25,0.004
2,2,0.0042
2,2.25,0.0043
2,2.25,0.0043
2,2.25,0.0044
2,2,0.00436
2,2.25,0.0044
2,2,0.0045
2,2,0.0045
2,2.25,0.0046
2,2.5,0.0046
2,2.25,0.0046
2,2,0.005
2,2.25,0.0052
2,2,0.0052
2,2,0.0058
2,2.5,0.0058
2,2,0.006
2,2.25,0.0061
2,2.5,0.006
2,2,0.0062
2,2,0.006261
2,2.5,0.0063
2,2,0.0064
2,2.25,0.0064
2,2.5,0.00659
2,2.25,0.00671
2,2,0.0068
2,2.5,0.0069
2,2,0.007
2,2,0.007
2,2.25,0.007
2,2,0.00715
2,2.5,0.0072
2,2.25,0.00723
2,2,0.0072
2,2,0.0073
2,2,0.0073
2,2,0.0073
2,2,0.0073
2,2,0.0074
2,2.25,0.0077
2,2.25,0.0077
2,2.5,0.0079
2,2.25,0.008
2,2,0.008
2,2,0.008
2,2.25,0.0081
2,2.25,0.0081
2,2.25,0.0085
2,2,0.0086
2,2.25,0.009
2,2.25,0.00876
2,2.25,0.009
2,2,0.0091
2,2,0.01
2,2,0.0099
2,2.5,0.0101
2,2,0.0102
2,2.25,0.0105
2,2,0.0107
2,2.25,0.0109
2,2.25,0.011
2,2,0.0111
2,2.25,0.0116
2,2.25,0.0117
2,2.25,0.0122
2,2,0.0122
2,2.5,0.0129
2,2,0.0134
2,2.25,0.0138
2,2,0.0146
2,1.25,0.014619
2,2.25,0.016
2,2.25,0.017
2,2,0.017
2,2.25,0.017
2,2.5,0.0175
2,2.25,0.0176
2,2.25,0.019
2,2.5,0.02
2,2,0.02489
2,2.25,0.025
2,2,0.0253
2,2.25,0.0256
2,2,0.026
2,2.25,0.026
2,2.25,0.0261
2,2,0.0263
2,2.25,0.0266
2,2,0.0287
2,2,0.0373
2,2.25,0.039
2,2.25,0.042
2,2.25,0.044
2,2.25,0.047
2,2.25,0.054
2,2.5,0.059
2,2.5,0.0638
2,2.5,0.0744
2,2.25,0.086
2,2,0.11455
2,2.5,0.12968
2.5,2.75,0.001
2.5,2.5,0.0057
2.5,3,0.0097
2.8,3.25,0.0018
2.8,3.25,0.0063
2.8,3.25,0.0117
2.8,3.25,0.0284
3,3.5,0.0011
3,3.25,0.002
3,3.5,0.0021
3,3.75,0.0024
3,3,0.0029
3,3.5,0.003
3,3.5,0.0034
3,3.5,0.0035
3,3.5,0.004207
3,3.5,0.0057
3,3,0.0078
3,3.5,0.0079
3,3,0.009
3,3.5,0.0125
3,3.5,0.0218
3,2.25,0.0332
